"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 11 14:39:19 UTC 2026","Fri Sep 11 14:39:20 UTC 2026","1221","","Catalog Tests","","qa.ui.CatalogTest","catalog_goToCart_shouldNavigateToCartPage","Каталог -> Корзина: переход по иконке корзины",""
"passed","Fri Sep 11 14:39:49 UTC 2026","Fri Sep 11 14:39:55 UTC 2026","6123","","Login Tests","","qa.ui.LoginTest","login_performanceGlitchUser_shouldLoginWithDelay","Логин: performance_glitch_user -> медленный вход",""
"passed","Fri Sep 11 14:38:57 UTC 2026","Fri Sep 11 14:38:58 UTC 2026","1279","","Cart and Checkout Tests","","qa.ui.CartTest","cart_addOneItem_shouldHave1Item","Добавить товар -> корзина: 1 товар",""
"passed","Fri Sep 11 14:39:47 UTC 2026","Fri Sep 11 14:39:48 UTC 2026","1117","","Login Tests","","qa.ui.LoginTest","login_problemsUser_shouldLogin","Логин: problems_user -> успешный вход",""
"passed","Fri Sep 11 14:39:39 UTC 2026","Fri Sep 11 14:39:41 UTC 2026","1122","","Catalog Tests","","qa.ui.CatalogTest","catalog_shouldShowProductsTitle","Каталог: заголовок 'Products'",""
"passed","Fri Sep 11 14:39:18 UTC 2026","Fri Sep 11 14:39:19 UTC 2026","1195","","Catalog Tests","","qa.ui.CatalogTest","catalog_allItemsHaveNames","Каталог: у всех товаров есть имя",""
"passed","Fri Sep 11 14:39:38 UTC 2026","Fri Sep 11 14:39:39 UTC 2026","1245","","Catalog Tests","","qa.ui.CatalogTest","catalog_sortByPriceHighToLow","Сортировка: Price (high to low)",""
"passed","Fri Sep 11 14:39:57 UTC 2026","Fri Sep 11 14:39:58 UTC 2026","1139","","Login Tests","","qa.ui.LoginTest","login_lockedUser_shouldShowLockedMessage","Логин: locked_out_user -> сообщение о блокировке",""
"passed","Fri Sep 11 14:39:48 UTC 2026","Fri Sep 11 14:39:49 UTC 2026","776","","Login Tests","","qa.ui.LoginTest","loginPage_loginButtonIsClickable","Страница логина: кнопка Login кликабельна",""
"passed","Fri Sep 11 14:39:16 UTC 2026","Fri Sep 11 14:39:17 UTC 2026","1250","","Catalog Tests","","qa.ui.CatalogTest","catalog_sortByNameZtoA","Сортировка: Name (Z to A)",""
"passed","Fri Sep 11 14:39:10 UTC 2026","Fri Sep 11 14:39:12 UTC 2026","1790","","Catalog Tests","","qa.ui.CatalogTest","catalog_logout_shouldReturnToLoginPage","Бургер-меню -> Logout -> страница логина",""
"passed","Fri Sep 11 14:39:12 UTC 2026","Fri Sep 11 14:39:13 UTC 2026","1166","","Catalog Tests","","qa.ui.CatalogTest","catalog_shouldDisplay6Items","Каталог: 6 товаров на странице",""
"passed","Fri Sep 11 14:39:13 UTC 2026","Fri Sep 11 14:39:14 UTC 2026","1288","","Catalog Tests","","qa.ui.CatalogTest","catalog_allItemsHavePrices","Каталог: у всех товаров есть цена ($)",""
"passed","Fri Sep 11 14:39:22 UTC 2026","Fri Sep 11 14:39:38 UTC 2026","16448","","Catalog Tests","","qa.ui.CatalogTest","catalog_addThenRemove_shouldResetButton","Добавить -> удалить -> кнопка возвращается",""
"passed","Fri Sep 11 14:39:09 UTC 2026","Fri Sep 11 14:39:10 UTC 2026","1242","","Catalog Tests","","qa.ui.CatalogTest","catalog_addToCart_shouldChangeButtonToRemove","Добавить 'Sauce Labs Backpack' -> кнопка меняется на 'Remove'",""
"passed","Fri Sep 11 14:39:14 UTC 2026","Fri Sep 11 14:39:16 UTC 2026","1264","","Catalog Tests","","qa.ui.CatalogTest","catalog_sortByNameAtoZ","Сортировка: Name (A to Z)",""
